City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,"Landfill Location (Lat, Long)",Landfill Capacity (Tons),Year,years_since_start,waste_per_capita,cost_efficiency,index
Delhi,Organic,2224.0,84.0,14376.0,10.0,Landfill,3219.0,4.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2019.0,0.0,0.1547022815804118,321.9,
Delhi,E-Waste,2395.0,43.0,14376.0,5.0,Composting,2005.0,1.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2019.0,0.0,0.1665971062882582,401.0,
Delhi,Construction,1887.0,80.0,14376.0,7.0,Incineration,4307.0,4.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2019.0,0.0,0.1312604340567612,615.2857142857143,
Delhi,Hazardous,4158.0,48.0,14376.0,5.0,Composting,4183.0,6.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2019.0,0.0,0.2892320534223706,836.6,
Delhi,Plastic,763.0,75.0,14376.0,5.0,Recycling,1337.0,20.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2020.0,1.0,0.0530745687256538,267.4,
Delhi,Organic,7143.0,69.0,14376.0,9.0,Landfill,682.0,16.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2020.0,1.0,0.4968697829716194,75.77777777777777,
Delhi,E-Waste,7516.0,84.0,14376.0,5.0,Composting,620.0,18.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2020.0,1.0,0.5228158041179743,124.0,
Delhi,Construction,3125.0,77.0,14376.0,8.0,Recycling,4345.0,5.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2020.0,1.0,0.2173761825264329,543.125,
Delhi,Hazardous,6574.0,84.0,14376.0,8.0,Incineration,913.0,20.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2020.0,1.0,0.4572899276572064,114.125,
Delhi,Plastic,3407.0,82.0,14376.0,10.0,Composting,2802.0,4.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2021.0,2.0,0.2369922092376182,280.2,
Delhi,Organic,9617.0,36.0,14376.0,6.0,Recycling,2676.0,5.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2021.0,2.0,0.6689621591541458,446.0,
Delhi,E-Waste,1426.0,38.0,14376.0,5.0,Composting,1674.0,2.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2021.0,2.0,0.0991930996104618,334.8,
Delhi,Construction,8566.0,34.0,14376.0,8.0,Landfill,2594.0,19.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2021.0,2.0,0.5958542014468559,324.25,
Delhi,Hazardous,2873.0,76.0,14376.0,8.0,Incineration,1904.0,16.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2021.0,2.0,0.1998469671675014,238.0,
Delhi,Plastic,6770.0,66.0,14376.0,10.0,Landfill,3496.0,2.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2022.0,3.0,0.4709237618252643,349.6,
Delhi,Organic,8105.0,40.0,14376.0,8.0,Recycling,3175.0,12.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2022.0,3.0,0.5637868670005565,396.875,
Delhi,E-Waste,6564.0,72.0,14376.0,7.0,Recycling,4437.0,13.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2022.0,3.0,0.4565943238731219,633.8571428571429,
Delhi,Construction,7226.0,48.0,14376.0,8.0,Incineration,2360.0,11.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2022.0,3.0,0.5026432943795214,295.0,
Delhi,Hazardous,3464.0,32.0,14376.0,6.0,Incineration,2523.0,1.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2022.0,3.0,0.2409571508069004,420.5,
Delhi,Plastic,2397.0,67.0,14376.0,9.0,Landfill,3644.0,0.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2023.0,4.0,0.1667362270450751,404.8888888888889,
Delhi,Organic,9092.0,71.0,14376.0,6.0,Landfill,2194.0,14.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2023.0,4.0,0.632442960489705,365.6666666666667,
Delhi,E-Waste,7257.0,32.0,14376.0,5.0,Incineration,3259.0,5.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2023.0,4.0,0.5047996661101837,651.8,
Delhi,Construction,8220.0,66.0,14376.0,6.0,Incineration,1687.0,10.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2023.0,4.0,0.5717863105175293,281.1666666666667,
Delhi,Hazardous,3054.0,32.0,14376.0,9.0,Landfill,1135.0,7.0,Delhi Landfill,"30.2591, 91.9376",74509.0,2023.0,4.0,0.2124373956594324,126.11111111111111,
Bengaluru,Plastic,7843.0,36.0,18195.0,10.0,Incineration,4211.0,13.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2019.0,0.0,0.4310524869469634,421.1,
Bengaluru,Organic,8884.0,32.0,18195.0,6.0,Incineration,4262.0,17.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2019.0,0.0,0.48826600714482,710.3333333333334,
Bengaluru,E-Waste,2167.0,61.0,18195.0,6.0,Recycling,4554.0,0.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2019.0,0.0,0.1190986534762297,759.0,
Bengaluru,Construction,4750.0,31.0,18195.0,7.0,Composting,4444.0,2.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2019.0,0.0,0.2610607309700467,634.8571428571429,
Bengaluru,Hazardous,8952.0,43.0,18195.0,5.0,Recycling,2956.0,0.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2019.0,0.0,0.4920032976092333,591.2,
Bengaluru,Plastic,7075.0,84.0,18195.0,6.0,Incineration,4993.0,15.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2020.0,1.0,0.3888430887606485,832.1666666666666,
Bengaluru,Organic,3653.0,83.0,18195.0,5.0,Composting,3975.0,1.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2020.0,1.0,0.200769442154438,795.0,
Bengaluru,E-Waste,5477.0,40.0,18195.0,10.0,Incineration,3064.0,14.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2020.0,1.0,0.3010167628469359,306.4,
Bengaluru,Construction,6105.0,83.0,18195.0,6.0,Incineration,2320.0,18.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2020.0,1.0,0.3355317394888705,386.6666666666667,
Bengaluru,Hazardous,941.0,63.0,18195.0,5.0,Landfill,3733.0,6.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2020.0,1.0,0.0517175048090134,746.6,
Bengaluru,Plastic,798.0,36.0,18195.0,8.0,Incineration,2456.0,11.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2021.0,2.0,0.0438582028029678,307.0,
Bengaluru,Organic,994.0,51.0,18195.0,6.0,Recycling,2169.0,15.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2021.0,2.0,0.0546303929651003,361.5,
Bengaluru,E-Waste,8114.0,56.0,18195.0,8.0,Recycling,4323.0,6.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2021.0,2.0,0.4459466886507282,540.375,
Bengaluru,Construction,6555.0,34.0,18195.0,7.0,Composting,2973.0,17.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2021.0,2.0,0.3602638087386645,424.7142857142857,
Bengaluru,Hazardous,4008.0,47.0,18195.0,10.0,Incineration,3873.0,5.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2021.0,2.0,0.220280296784831,387.3,
Bengaluru,Plastic,3739.0,43.0,18195.0,5.0,Recycling,2073.0,9.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2022.0,3.0,0.2054960153888431,414.6,
Bengaluru,Organic,909.0,54.0,18195.0,10.0,Composting,1000.0,20.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2022.0,3.0,0.0499587798845836,100.0,
Bengaluru,E-Waste,5864.0,51.0,18195.0,9.0,Landfill,4645.0,19.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2022.0,3.0,0.3222863424017587,516.1111111111111,
Bengaluru,Construction,512.0,65.0,18195.0,6.0,Incineration,3796.0,17.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2022.0,3.0,0.0281395987908766,632.6666666666666,
Bengaluru,Hazardous,902.0,85.0,18195.0,7.0,Landfill,1379.0,14.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2022.0,3.0,0.0495740588073646,197.0,
Bengaluru,Plastic,5280.0,68.0,18195.0,9.0,Landfill,2386.0,10.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2023.0,4.0,0.2901896125309151,265.1111111111111,
Bengaluru,Organic,7135.0,79.0,18195.0,5.0,Incineration,3919.0,17.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2023.0,4.0,0.3921406979939544,783.8,
Bengaluru,E-Waste,7667.0,81.0,18195.0,6.0,Landfill,2745.0,10.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2023.0,4.0,0.4213794998625996,457.5,
Bengaluru,Construction,3159.0,43.0,18195.0,10.0,Recycling,4007.0,7.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2023.0,4.0,0.1736191261335531,400.7,
Bengaluru,Hazardous,5891.0,59.0,18195.0,7.0,Incineration,2202.0,15.0,Bengaluru Landfill,"15.7581, 85.4837",52609.0,2023.0,4.0,0.3237702665567463,314.57142857142856,
Chennai,Plastic,6159.0,74.0,21430.0,10.0,Composting,3282.0,13.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2019.0,0.0,0.2874008399440037,328.2,
Chennai,Organic,6358.0,53.0,21430.0,5.0,Composting,4225.0,1.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2019.0,0.0,0.2966868875408306,845.0,
Chennai,E-Waste,6787.0,50.0,21430.0,5.0,Landfill,1623.0,7.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2019.0,0.0,0.3167055529631358,324.6,
Chennai,Construction,628.0,41.0,21430.0,10.0,Recycling,837.0,7.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2019.0,0.0,0.029304713019132,83.7,
Chennai,Hazardous,1639.0,50.0,21430.0,9.0,Composting,3225.0,19.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2019.0,0.0,0.0764815678954736,358.3333333333333,
Chennai,Plastic,1760.0,68.0,21430.0,8.0,Incineration,2871.0,18.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2020.0,1.0,0.0821278581427904,358.875,
Chennai,Organic,6805.0,32.0,21430.0,5.0,Composting,1988.0,3.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2020.0,1.0,0.3175454969668689,397.6,
Chennai,E-Waste,5763.0,67.0,21430.0,5.0,Landfill,1453.0,0.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2020.0,1.0,0.2689220718618759,290.6,
Chennai,Construction,8100.0,76.0,21430.0,9.0,Incineration,2855.0,1.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2020.0,1.0,0.377974801679888,317.22222222222223,
Chennai,Hazardous,651.0,46.0,21430.0,8.0,Recycling,533.0,7.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2020.0,1.0,0.0303779748016798,66.625,
Chennai,Plastic,4648.0,60.0,21430.0,9.0,Landfill,1389.0,0.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2021.0,2.0,0.2168922071861876,154.33333333333334,
Chennai,Organic,8394.0,72.0,21430.0,6.0,Incineration,4236.0,15.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2021.0,2.0,0.391693887074195,706.0,
Chennai,E-Waste,4255.0,31.0,21430.0,6.0,Landfill,3888.0,17.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2021.0,2.0,0.1985534297713485,648.0,
Chennai,Construction,4259.0,65.0,21430.0,7.0,Composting,1620.0,10.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2021.0,2.0,0.1987400839944003,231.42857142857144,
Chennai,Hazardous,552.0,31.0,21430.0,7.0,Incineration,2450.0,2.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2021.0,2.0,0.0257582827811479,350.0,
Chennai,Plastic,1858.0,61.0,21430.0,5.0,Incineration,4476.0,3.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2022.0,3.0,0.0867008866075595,895.2,
Chennai,Organic,5933.0,71.0,21430.0,8.0,Recycling,3180.0,20.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2022.0,3.0,0.2768548763415772,397.5,
Chennai,E-Waste,7231.0,36.0,21430.0,7.0,Incineration,3588.0,12.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2022.0,3.0,0.3374241717218852,512.5714285714286,
Chennai,Construction,8389.0,79.0,21430.0,10.0,Incineration,3449.0,20.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2022.0,3.0,0.3914605692953803,344.9,
Chennai,Hazardous,6393.0,53.0,21430.0,7.0,Landfill,764.0,16.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2022.0,3.0,0.2983201119925338,109.14285714285714,
Chennai,Plastic,4234.0,44.0,21430.0,8.0,Composting,3634.0,19.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2023.0,4.0,0.1975734951003266,454.25,
Chennai,Organic,7743.0,64.0,21430.0,7.0,Recycling,2483.0,20.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2023.0,4.0,0.3613159122725151,354.7142857142857,
Chennai,E-Waste,618.0,85.0,21430.0,6.0,Incineration,1982.0,15.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2023.0,4.0,0.0288380774615025,330.3333333333333,
Chennai,Construction,4852.0,69.0,21430.0,5.0,Recycling,4411.0,8.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2023.0,4.0,0.2264115725618292,882.2,
Chennai,Hazardous,3096.0,45.0,21430.0,8.0,Composting,896.0,19.0,Chennai Landfill,"29.4633, 80.8873",65486.0,2023.0,4.0,0.1444703686420905,112.0,
Kolkata,Plastic,7992.0,32.0,17335.0,9.0,Composting,2038.0,20.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2019.0,0.0,0.4610325930199019,226.44444444444449,
Kolkata,Organic,8041.0,71.0,17335.0,6.0,Composting,4200.0,6.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2019.0,0.0,0.4638592443034323,700.0,
Kolkata,E-Waste,812.0,50.0,17335.0,10.0,Recycling,3118.0,16.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2019.0,0.0,0.0468416498413614,311.8,
Kolkata,Construction,4954.0,63.0,17335.0,10.0,Incineration,1135.0,14.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2019.0,0.0,0.2857802134410153,113.5,
Kolkata,Hazardous,626.0,53.0,17335.0,5.0,Recycling,4504.0,6.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2019.0,0.0,0.0361119123161234,900.8,
Kolkata,Plastic,1569.0,52.0,17335.0,10.0,Composting,2719.0,4.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2020.0,1.0,0.0905105278338621,271.9,
Kolkata,Organic,6472.0,74.0,17335.0,5.0,Landfill,3328.0,14.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2020.0,1.0,0.3733487164695702,665.6,
Kolkata,E-Waste,6409.0,50.0,17335.0,9.0,Composting,1796.0,11.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2020.0,1.0,0.3697144505336025,199.55555555555557,
Kolkata,Construction,2509.0,60.0,17335.0,5.0,Composting,2411.0,20.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2020.0,1.0,0.1447360830689356,482.2,
Kolkata,Hazardous,5709.0,58.0,17335.0,10.0,Incineration,4414.0,3.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2020.0,1.0,0.3293337179117392,441.4,
Kolkata,Plastic,3627.0,67.0,17335.0,6.0,Incineration,4952.0,16.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2021.0,2.0,0.2092298817421402,825.3333333333334,
Kolkata,Organic,9186.0,35.0,17335.0,6.0,Landfill,4649.0,9.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2021.0,2.0,0.529910585520623,774.8333333333334,
Kolkata,E-Waste,2735.0,54.0,17335.0,8.0,Composting,2923.0,1.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2021.0,2.0,0.1577732910297087,365.375,
Kolkata,Construction,1989.0,45.0,17335.0,7.0,Recycling,2795.0,8.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2021.0,2.0,0.1147389674069801,399.2857142857143,
Kolkata,Hazardous,2740.0,34.0,17335.0,8.0,Recycling,1795.0,7.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2021.0,2.0,0.1580617248341505,224.375,
Kolkata,Plastic,1267.0,51.0,17335.0,7.0,Incineration,4565.0,9.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2022.0,3.0,0.0730891260455725,652.1428571428571,
Kolkata,Organic,545.0,61.0,17335.0,5.0,Landfill,4082.0,13.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2022.0,3.0,0.0314392846841649,816.4,
Kolkata,E-Waste,1714.0,81.0,17335.0,7.0,Composting,2394.0,11.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2022.0,3.0,0.0988751081626766,342.0,
Kolkata,Construction,7568.0,65.0,17335.0,5.0,Incineration,3770.0,0.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2022.0,3.0,0.4365734064032304,754.0,
Kolkata,Hazardous,8057.0,32.0,17335.0,5.0,Composting,2400.0,3.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2022.0,3.0,0.4647822324776464,480.0,
Kolkata,Plastic,6343.0,80.0,17335.0,7.0,Recycling,1064.0,17.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2023.0,4.0,0.3659071243149697,152.0,
Kolkata,Organic,1654.0,71.0,17335.0,10.0,Incineration,2348.0,11.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2023.0,4.0,0.0954139025093741,234.8,
Kolkata,E-Waste,9639.0,60.0,17335.0,10.0,Landfill,2743.0,11.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2023.0,4.0,0.5560426882030574,274.3,
Kolkata,Construction,4040.0,77.0,17335.0,6.0,Landfill,2119.0,16.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2023.0,4.0,0.2330545139890395,353.1666666666667,
Kolkata,Hazardous,956.0,81.0,17335.0,9.0,Landfill,673.0,10.0,Kolkata Landfill,"16.068, 72.6096",80985.0,2023.0,4.0,0.0551485434092875,74.77777777777777,
Hyderabad,Plastic,5089.0,66.0,7927.0,6.0,Recycling,1103.0,10.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2019.0,0.0,0.6419830957487069,183.83333333333331,
Hyderabad,Organic,588.0,32.0,7927.0,6.0,Incineration,3131.0,5.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2019.0,0.0,0.0741768638829317,521.8333333333334,
Hyderabad,E-Waste,6487.0,37.0,7927.0,9.0,Incineration,2065.0,0.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2019.0,0.0,0.8183423741642488,229.44444444444449,
Hyderabad,Construction,2163.0,52.0,7927.0,5.0,Incineration,2206.0,7.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2019.0,0.0,0.2728648921407847,441.2,
Hyderabad,Hazardous,1887.0,48.0,7927.0,7.0,Composting,3526.0,17.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2019.0,0.0,0.2380471805222656,503.7142857142857,
Hyderabad,Plastic,3899.0,59.0,7927.0,7.0,Incineration,2812.0,5.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2020.0,1.0,0.491863252176107,401.7142857142857,
Hyderabad,Organic,7422.0,73.0,7927.0,9.0,Landfill,3646.0,19.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2020.0,1.0,0.9362936798284344,405.1111111111111,
Hyderabad,E-Waste,2765.0,39.0,7927.0,7.0,Recycling,1602.0,15.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2020.0,1.0,0.3488078718304528,228.8571428571429,
Hyderabad,Construction,5337.0,72.0,7927.0,7.0,Composting,4205.0,2.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2020.0,1.0,0.673268575753753,600.7142857142857,
Hyderabad,Hazardous,1713.0,85.0,7927.0,5.0,Incineration,4307.0,17.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2020.0,1.0,0.2160968840671124,861.4,
Hyderabad,Plastic,7858.0,79.0,7927.0,7.0,Composting,3494.0,8.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2021.0,2.0,0.9912955720953702,499.1428571428572,
Hyderabad,Organic,6905.0,46.0,7927.0,5.0,Incineration,1624.0,2.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2021.0,2.0,0.8710735461082376,324.8,
Hyderabad,E-Waste,1285.0,72.0,7927.0,9.0,Incineration,1411.0,19.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2021.0,2.0,0.1621042008325974,156.77777777777777,
Hyderabad,Construction,805.0,34.0,7927.0,6.0,Recycling,1077.0,11.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2021.0,2.0,0.101551658887347,179.5,
Hyderabad,Hazardous,742.0,83.0,7927.0,5.0,Composting,2985.0,12.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2021.0,2.0,0.0936041377570329,597.0,
Hyderabad,Plastic,5774.0,48.0,7927.0,6.0,Incineration,3095.0,7.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2022.0,3.0,0.7283966191497414,515.8333333333334,
Hyderabad,Organic,1013.0,80.0,7927.0,8.0,Composting,823.0,3.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2022.0,3.0,0.1277910937302888,102.875,
Hyderabad,E-Waste,708.0,42.0,7927.0,6.0,Landfill,1987.0,0.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2022.0,3.0,0.0893149993692443,331.1666666666667,
Hyderabad,Construction,2667.0,39.0,7927.0,6.0,Incineration,4911.0,4.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2022.0,3.0,0.3364450611832976,818.5,
Hyderabad,Hazardous,8430.0,82.0,7927.0,7.0,Landfill,706.0,3.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2022.0,3.0,1.0634540179134604,100.85714285714286,
Hyderabad,Plastic,4495.0,51.0,7927.0,5.0,Composting,1787.0,10.0,Hyderabad Landfill,"34.069, 82.1518",34239.0,2023.0,4.0,0.5670493250914596,357.4,
